"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4bb841","PGT3061 ","Turkey","1648462030","1648462114","32.1033","38.7724","11582.4","False","211.56","271.95","-0.33","","11704.32","0707","False","0","4"
"4bb850","PGT4222 ","Turkey","1648462299","1648462304","32.2002","39.9115","10660.38","False","226.32","133.71","-0.33","","10789.92","5137","False","0","4"
"4bb853","PGT93F  ","Turkey","1648462311","1648462312","26.198","43.1285","11582.4","False","224.45","314.72","0","","11666.22","3220","False","0","4"
"4bb84e","PGT292  ","Turkey","1648462311","1648462311","27.9724","41.4245","8328.66","False","215.63","104.93","-3.58","","8526.78","4151","False","0","4"
"a254d7","UAL712  ","United States","1648462177","1648462282","31.5195","42.5555","11269.98","False","254.25","105.61","0.33","","11346.18","5205","False","0","6"
"504e4d","","Republic of Moldova","1648462311","1648462311","43.8402","41.541","10683.24","False","278.7","100.31","-1.63","","10492.74","","False","0","1"
"4bb868","PGT98L  ","Turkey","1648462020","1648462028","30.0963","38.5555","9243.06","False","234.41","167.58","-4.23","","9448.8","","False","0","0"
"4bb869","PGT64N  ","Turkey","1648462311","1648462311","28.1861","41.1543","7673.34","False","206.25","321.79","7.8","","7879.08","","False","0","0"
"4bb875","PGT1916 ","Turkey","1648462134","1648462311","33.4375","35.572","2506.98","False","191.49","150.2","-8.45","","3627.12","2370","False","0","0"
"06a127","QTR22N  ","Qatar","1648462311","1648462311","26.0347","38.1404","10972.8","False","235.25","317.66","0","","11148.06","7243","False","0","0"
"48c22d","RYR466T ","Poland","1648462311","1648462311","26.3641","38.8985","11582.4","False","209.22","320.99","0","","11734.8","6017","False","0","0"
"06a152","QTR65P  ","Qatar","1648462311","1648462311","25.9536","44.5553","480.06","False","73.46","83.97","-4.88","","624.84","7650","False","0","4"
"48c225","RYR3136 ","Poland","1648462304","1648462304","30.0445","39.3289","10972.8","False","207.88","346.55","-0.33","","11125.2","","False","0","0"
"48c224","RYR6755 ","Poland","1648462309","1648462311","30.8201","36.6594","10972.8","False","206.39","355.57","0","","11148.06","5545","False","0","0"
"3c79c1","SDR61RC ","Germany","1648462310","1648462311","26.9109","38.405","11277.6","False","239.22","139.01","0","","11437.62","7425","False","0","0"
"4b9067","PGT1871 ","Turkey","1648462157","1648462157","33.5018","35.1576","","True","0","22.5","","","","2367","False","0","4"
"06a0b5","QTR56N  ","Qatar","1648462311","1648462311","27.728","41.8583","12192","False","230.91","298.62","0","","12268.2","2371","False","0","6"
"06a0b3","QTR170  ","Qatar","1648462311","1648462311","28.3771","43.4926","12489.18","False","247.59","119.23","-0.33","","12512.04","4512","False","0","6"
"06a0b4","QTR40N  ","Qatar","1648462311","1648462311","29.33","42.7637","11582.4","False","232.53","307","-0.33","","11666.22","7345","False","0","6"
"06a0b0","QTR78N  ","Qatar","1648462311","1648462311","25.8672","42.3105","12192","False","231.97","283.2","0","","12260.58","7345","False","0","6"
